ABRUZZO;ABRUZZO;Agrario-Forestale e Veterinario;779;0;0;
ABRUZZO;ABRUZZO;Architettura e Ingegneria civile;1729;0;0;18474
ABRUZZO;ABRUZZO;Arte e Design;690;0;0;
ABRUZZO;ABRUZZO;Economico;3682;0;0;
ABRUZZO;ABRUZZO;Educazione e Formazione;1472;0;0;
ABRUZZO;ABRUZZO;Giuridico;2087;0;0;
ABRUZZO;ABRUZZO;Informatica e Tecnologie ICT;378;0;0;
ABRUZZO;ABRUZZO;Ingegneria industriale e dell'informazione;1553;0;0;
ABRUZZO;ABRUZZO;Letterario-Umanistico;1359;0;0;
ABRUZZO;ABRUZZO;Linguistico;1839;0;0;
ABRUZZO;ABRUZZO;Medico-Sanitario e Farmaceutico;5073;0;0;
ABRUZZO;ABRUZZO;Politico-Sociale e Comunicazione;1364;0;0;
ABRUZZO;ABRUZZO;Psicologico;1179;0;0;
ABRUZZO;ABRUZZO;Scientifico;1997;0;0;
ABRUZZO;ABRUZZO;Scienze motorie e sportive;1142;0;0;
CALABRIA;ABRUZZO;Medico-Sanitario e Farmaceutico;12;1;12;
CAMPANIA;ABRUZZO;Agrario-Forestale e Veterinario;5;1;5;
CAMPANIA;ABRUZZO;Architettura e Ingegneria civile;103;1;103;
CAMPANIA;ABRUZZO;Economico;273;1;273;
CAMPANIA;ABRUZZO;Educazione e Formazione;90;1;90;
CAMPANIA;ABRUZZO;Giuridico;117;1;117;
CAMPANIA;ABRUZZO;Ingegneria industriale e dell'informazione;43;1;43;
CAMPANIA;ABRUZZO;Letterario-Umanistico;9;1;9;
CAMPANIA;ABRUZZO;Linguistico;53;1;53;
CAMPANIA;ABRUZZO;Medico-Sanitario e Farmaceutico;26;1;26;
CAMPANIA;ABRUZZO;Politico-Sociale e Comunicazione;24;1;24;
CAMPANIA;ABRUZZO;Psicologico;7;1;7;
CAMPANIA;ABRUZZO;Scientifico;24;1;24;
CAMPANIA;ABRUZZO;Scienze motorie e sportive;142;1;142;
EMILIA ROMAGNA;ABRUZZO;Agrario-Forestale e Veterinario;142;1;142;
EMILIA ROMAGNA;ABRUZZO;Architettura e Ingegneria civile;148;1;148;
EMILIA ROMAGNA;ABRUZZO;Arte e Design;150;1;150;
EMILIA ROMAGNA;ABRUZZO;Economico;360;1;360;
EMILIA ROMAGNA;ABRUZZO;Educazione e Formazione;89;1;89;
EMILIA ROMAGNA;ABRUZZO;Giuridico;446;1;446;
EMILIA ROMAGNA;ABRUZZO;Informatica e Tecnologie ICT;73;1;73;
EMILIA ROMAGNA;ABRUZZO;Ingegneria industriale e dell'informazione;749;1;749;
EMILIA ROMAGNA;ABRUZZO;Letterario-Umanistico;298;1;298;
EMILIA ROMAGNA;ABRUZZO;Linguistico;127;1;127;
EMILIA ROMAGNA;ABRUZZO;Medico-Sanitario e Farmaceutico;242;1;242;
EMILIA ROMAGNA;ABRUZZO;Politico-Sociale e Comunicazione;312;1;312;
EMILIA ROMAGNA;ABRUZZO;Psicologico;43;1;43;
EMILIA ROMAGNA;ABRUZZO;Scientifico;465;1;465;
